movie_id,title,genres,poster_url,OTT
19995,Avatar,"Action,Adventure,Fantasy,Science,Fiction",https://image.tmdb.org/t/p/w500//kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Disney+
285,Pirates of the Caribbean: At World's End,"Adventure,Fantasy,Action",https://image.tmdb.org/t/p/w500//jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,prime video
206647,Spectre,"Action,Adventure,Crime",https://image.tmdb.org/t/p/w500//zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg,prime video
49026,The Dark Knight Rises,"Action,Crime,Drama,Thriller",https://image.tmdb.org/t/p/w500//hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,netflix
49529,John Carter,"Action,Adventure,Science,Fiction",https://image.tmdb.org/t/p/w500//lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,prime video
559,Spider-Man 3,"Fantasy,Action,Adventure",https://image.tmdb.org/t/p/w500//qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,netflix
38757,Tangled,"Animation,Family",https://image.tmdb.org/t/p/w500//ym7Kst6a4uodryxqbGOxmewF235.jpg,Disney+
99861,Avengers: Age of Ultron,"Action,Adventure,Science,Fiction",https://image.tmdb.org/t/p/w500//4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,prime video
767,Harry Potter and the Half-Blood Prince,"Adventure,Fantasy,Family",https://image.tmdb.org/t/p/w500//z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,jiocinema
209112,Batman v Superman: Dawn of Justice,"Action,Adventure,Fantasy",https://image.tmdb.org/t/p/w500//5UsK3grJvtQrtzEgqNlDljJW96w.jpg,Disney+
1452,Superman Returns,"Adventure,Fantasy,Action,Science,Fiction",https://image.tmdb.org/t/p/w500//385XwTQZDpRX2d3kxtnpiLrjBXw.jpg,prime video
10764,Quantum of Solace,"Adventure,Action,Thriller,Crime",https://image.tmdb.org/t/p/w500//e3DXXLJHGqMx9yYpXsql1XNljmM.jpg,prime video
58,Pirates of the Caribbean: Dead Man's Chest,"Adventure,Fantasy,Action",https://image.tmdb.org/t/p/w500//uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,netflix
57201,The Lone Ranger,"Action,Adventure,Western",https://image.tmdb.org/t/p/w500//xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg,prime video
49521,Man of Steel,"Action,Adventure,Fantasy,Science,Fiction",https://image.tmdb.org/t/p/w500//dksTL9NXc3GqPBRHYHcy1aIwjS.jpg,netflix
2454,The Chronicles of Narnia: Prince Caspian,"Adventure,Family,Fantasy",https://image.tmdb.org/t/p/w500//qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,Disney+
24428,The Avengers,"Science,Fiction,Action,Adventure",https://image.tmdb.org/t/p/w500//RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,prime video
1865,Pirates of the Caribbean: On Stranger Tides,"Adventure,Action,Fantasy",https://image.tmdb.org/t/p/w500//keGfSvCmYj7CvdRx36OdVrAEibE.jpg,jiocinema
41154,Men in Black 3,"Action,Comedy,Science,Fiction",https://image.tmdb.org/t/p/w500//90DdoEStzeObs96fsYf4GG544iN.jpg,Disney+
122917,The Hobbit: The Battle of the Five Armies,"Action,Adventure,Fantasy",https://image.tmdb.org/t/p/w500//xT98tLqatZPQApyRmlPL12LtiWp.jpg,prime video
1930,The Amazing Spider-Man,"Action,Adventure,Fantasy",https://image.tmdb.org/t/p/w500//BgcvtsVWLQfjHD6Dr3YYgeSLYk.jpg,prime video
